Location,lat,long
GoldCoast,-28.0167,153.4
CoffsHarbour,-30.3022,153.1189
Brisbane,-27.4678,153.0281
Newcastle,-32.9167,151.75
Sydney,-33.865,151.2094
Wollongong,-34.4331,150.8831
Canberra,-35.2931,149.1269
WaggaWagga,-35.1189,147.3689
Hobart,-42.8806,147.325
Launceston,-41.4419,147.145
Albury,-36.0806,146.9158
Townsville,-19.2564,146.8183
Cairns,-16.9303,145.7703
Melbourne,-37.8136,144.9631
Bendigo,-36.75,144.2667
Ballarat,-37.55,143.85
Mildura,-34.1889,142.1583
MountGambier,-37.8294,140.7828
Adelaide,-34.9289,138.6011
AliceSprings,-23.7,133.8667
Darwin,-12.4381,130.8411
Albany,-35.0228,117.8814
Perth,-31.9522,115.8589
